Professor,Average Rating,Number of Courses
"El Hamzaoui, Mohammed",3.9716583251953126,16
"Richman, Mark",4.184413909912109,18
"Yuan, Zhangxian",4.025,3
"Jayachandran, Jagannath",3.9126953124999995,11
"Karanjgaokar, Nikhil",3.758935546875,12
"Blandino, John",4.616357421875,12
"Cowlagi, Raghvendra",4.572509765625,12
"Gatsonis, Nikolaos",3.8369974136352543,21
"Taillefer, Zachary",3.10625,7
"Olinger, David",4.307183837890625,16
"Gonzalez, Adryen",4.366666666354286,124
"Keller, Marie",4.299999998765998,60
"Bigonah, Roshanak",3.900016276041667,147
"Samson, M.",3.9000000003958117,150
"Sutter, Ralph",4.708861237764358,25
"Chery, Farley",4.212500484784444,109
"Gutierrez, Edward",4.231835937498135,70
"Rosenstock, Joshua",4.500001049041751,98
"Farzin, Soroush",3.8703125,7
"Liu, Shichao",3.715625,6
"Blackman, Kyle",4.999981689453125,15
"Buckholt, Michael",4.5156494140625,16
"Rulfs, Jill",3.1398681640625,13
"Srinivasan, Jagan",4.55859375,8
"Vidali, Luis",4.33890380859375,15
"Roberts, Louis",4.456103515624999,14
"Duffy, Joseph",3.961328125,9
"Rao, Reeta",4.596911585376068,54
"Moxey, Carl",2.9,1
"Whitefleet-Smith, JoAnn",4.482137650623917,34
"Weathers, Pamela",4.5249999999999995,7
"Wu, Zheyang",3.141522216796875,16
"Troy, Karen",4.508593749999999,8
"Rolle, Marsha",4.005859375,9
"Lammert, Adam",4.4,3
"Coburn, Jeannine",4.47080078125,11
"Ambady, Sakthikumar",4.733203124999999,12
"Page, Raymond",3.9932495117187496,14
"Ayobami, Olufunmilayo",4.5625,4
"Billiar, Kristen",3.325,4
"Reidinger, Amanda",4.26201171875,12
"Shazeeb, Mohammed Salman",4.725,4
"Mensah, Solomon",3.9375,4
"Shivkumar, Satya",3.988560267854488,74
"Zheng, Yihao",4.2921875,8
"Lindholm, John",4.2125,5
"Gonsalves, Edward",4.36978759765625,14
"Lombardi, Robert",4.184374999999999,7
"Miller, Fabienne",4.2171875,8
"Bossu, Sebastien",2.1,1
"Ryan, James",4.402392578125,12
"Towner, Walter",4.4981893539428714,23
"Hall-Phillips, Adrienne",4.30625,5
"Albano, Leonard",4.799755859375001,12
"Sakulich, Aaron",4.3619140625,12
"Rosewitz, Jessica",4.44375,5
"Dudle, Jeanine",4.4828125,7
"LePage, Suzanne",4.587872314453125,15
"El-Korchi, Tahar",3.9625,4
"Mallick, Rajib",4.2407958984375,13
"Mathisen, Paul",3.26875,9
"Rahbar, Nima",4.38046875,8
"Eggleston, Carrick",3.9375,4
"Bafaro, Elizabeth",4.413028156757355,27
"Burdette, Shawn",3.08656005859375,15
"Bursten, Bruce",3.6841796875,12
"Grimm, Ronald",4.6349609375,12
"Kennedy, Roy",3.4,1
"Manyanga, Fidelis",3.7,1
"Mardilovich, Ivan",4.538040435314178,25
"Kumar, Uma",4.36159194111824,25
"Brodeur, Drew",4.344084930419922,19
"Lambert, Christopher",4.2490234375,10
"Heilman, Destin",4.319873046875,14
"Dempski, Robert",4.474609375,11
"Dittami, James",3.9135231018066405,19
"Deskins, N",4.568603515625,12
"Abu-Lail, Laila",4.124057960510253,20
"DiBiasio, David",4.499218988418579,24
"Zurawsky, Walter",4.110107421875,13
"Dixon, Anthony",4.06875,7
"Kmiotek, Stephen",4.564599609375,12
"Zheng, Huili",4.141702270507812,18
"Du, Wen-Hua",4.7724609375,11
"Weinstock, Jonathan",4.2885986328125,13
"Engling, Michael",4.0765625,7
"Beck, Joseph",2.6750975474715233,29
"Servatius, Herman",3.1783267974853517,20
"Smith, Therese",3.037158203125,13
"Wills, Craig",4.25,4
"Cuneo, Joshua",3.994219970703125,15
"Pray, Keith",3.65,7
"Dougherty, Daniel",4.28125,7
"Wong, Wilson",4.580859375,9
"Roberts, Charles",4.25625,7
"Ruiz, Carolina",4.621484375,11
"Guo, Tian",4.06796875,8
"Bohrer, Brandon",4.2,1
"Krueger, Robert",4.300000000023283,122
"Kordzadeh, Nima",4.351953125,9
"Makarov, Sergey",4.4125,8
"Guler, Ulkuhan",2.66875,5
"Tajik, Shahin",3.5,1
"Bitar, Stephen",4.550634765625,12
"Clancy, Edward",4.466796875,9
"Ludwig, Reinhold",4.41162109375,11
"Pahlavan, Kaveh",4.2638671875,10
"Noetscher, Gregory",4.35,5
"Mus, Koksal",3.9635540008544923,19
"Smith, Alexander",4.86171875,8
"Somasse, Gbetonmasse",3.665576171875,12
"Ephraim, Michelle",4.699999999793606,265
"Brattin, Joel",5.0,166
"Boudreau, Kristin",4.9,76
"Schachterle, Lance",4.100000000085371,254
"Aguilar, Joseph",4.75234375,181
"Cocola, James",4.499999999914628,254
"Stoddard, Elisabeth",4.696875000029058,53
"Guceri, Selcuk",4.496435546875,14
"Bhatia, Mehul",3.48170166015625,15
"Makhlouf, Makhlouf",3.619921875,11
"Mishra, Brajendra",4.22497566640377,28
"Powell, Adam",4.497601318359375,16
"Wodin-Schwartz, Sarah Jane",4.49951171875,12
